c,cpp,haskell,java,python,cython
22876.000000,45808.000000,88803.500000,780965.500000,241888.921875,4.471427
70450.750000,88960.187500,486139.062500,1436947.875000,668289.687500,68.447304
168200.234375,330456.625000,1456109.750000,2854632.000000,218800.453125,939498.750000
6952.000000,11340.000000,28841.296875,1703961.750000,69446.742188,0.002945
55086.234375,89576.000000,371833.812500,1372433.375000,517446.562500,41.549850
22045.250000,127349.250000,291839.531250,372350.281250,95911.164062,-nan
